sort_order,repo_uri,resource_uri,parent_uri,archival_object_uri,resource_title,archival_object_title,archival_object_level,extent_number,extent_type,extent_portion
00000.00026,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019500,Othniel Charles Marsh papers,"Andrews, S.W.F.",file,,,
00000.00027,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019501,Othniel Charles Marsh papers,"Arkell, Tufts and Co.",file,,,
00000.00028,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019502,Othniel Charles Marsh papers,"Arnold, L.C.",file,,,
00000.00029,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019503,Othniel Charles Marsh papers,"Arnold, Mat thew",file,,,
00000.00030,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019504,Othniel Charles Marsh papers,"Arthur, Chester Alan (1830-1886)",file,,,
00000.00031,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019505,Othniel Charles Marsh papers,"Ashley, E.G.",file,,,
00000.00032,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019506,Othniel Charles Marsh papers,"Astor, C. Augusta",file,,,
00000.00033,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019507,Othniel Charles Marsh papers,"Astor, J.J. and Mrs.",file,,,
00000.00034,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019508,Othniel Charles Marsh papers,"Augun, Christopher Colmbus (1821-1898)",file,,,
00000.00035,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019509,Othniel Charles Marsh papers,"Auld, Robert C.",file,,,
