total_count,11493
repository,Manuscripts and Archives

repo_uri,resource_uri,parent_uri,archival_object_uri,resource_title,archival_object_title,archival_object_level,extent_number,extent_type,extent_portion
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739771,Edward Mandell House papers,"Adams, Porter (*)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739772,Edward Mandell House papers,"Adams, W. A.",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739773,Edward Mandell House papers,"Adams, Wayman",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739774,Edward Mandell House papers,"Adamson, Ethel McClintock (Mrs. Robert)",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739775,Edward Mandell House papers,"Adamson, Robert",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739776,Edward Mandell House papers,"Addams, Jane",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739777,Edward Mandell House papers,"Addison, James T.",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739778,Edward Mandell House papers,"Adkins, Jesse C.",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739779,Edward Mandell House papers,Aero Club of America,file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739780,Edward Mandell House papers,"Ainslie, Douglas G. D.",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739781,Edward Mandell House papers,"Airlie, Lord",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739782,Edward Mandell House papers,"Akimoto, Shunkichi",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739748,/repositories/12/archival_objects/1739783,Edward Mandell House papers,"Alba, Duke of",file,,,
